x,y,z
-4.765108,-0.783928,28.224879
-4.366990,-0.765373,27.509571
-4.006829,-0.779137,26.809406
-3.684060,-0.819050,26.125707
-3.397559,-0.879910,25.459196
-3.145794,-0.957436,24.810180
-2.926958,-1.048207,24.178694
-2.739083,-1.149573,23.564609
-2.580132,-1.259566,22.967707
-2.448075,-1.376810,22.387734
-2.340949,-1.500435,21.824433
-2.256897,-1.629997,21.277572
-2.194207,-1.765416,20.746958
-2.151328,-1.906908,20.232442
-2.126886,-2.054945,19.733935
-2.119692,-2.210205,19.251403
-2.128743,-2.373546,18.784881
-2.153224,-2.545977,18.334478
-2.192499,-2.728638,17.900379
-2.246113,-2.922785,17.482861
-2.313780,-3.129784,17.082300
-2.395381,-3.351098,16.699189
-2.490952,-3.588285,16.334149
-2.600686,-3.842993,15.987954
-2.724916,-4.116958,15.661553
-2.864120,-4.412001,15.356095
-3.018908,-4.730018,15.072964
-3.190019,-5.072973,14.813813
-3.378315,-5.442885,14.580607
-3.584772,-5.841805,14.375669
-3.810475,-6.271789,14.201733
-4.056606,-6.734850,14.062005
-4.324431,-7.232911,13.960224
-4.615279,-7.767723,13.900734
-4.930523,-8.340766,13.888550
-5.271548,-8.953127,13.929432
-5.639705,-9.605332,14.029949
-6.036268,-10.297148,14.197529
-6.462356,-11.027331,14.440492
-6.918854,-11.793321,14.768038
-7.406300,-12.590888,15.190186
-7.924759,-13.413713,15.717633
-8.473655,-14.252924,16.361501
-9.051581,-15.096601,17.132938
-9.656083,-15.929276,18.042540
-10.283403,-16.731483,19.099550
-10.928211,-17.479438,20.310795
-11.583333,-18.144936,21.679363
-12.239494,-18.695627,23.203035
-12.885107,-19.095795,24.872538
-13.506176,-19.307814,26.669784
-14.086340,-19.294397,28.566337
-14.607145,-19.021677,30.522442
-15.048598,-18.463003,32.487034
-15.390039,-17.603138,34.399137
-15.611349,-16.442277,36.190956
-15.694442,-14.999135,37.792725
-15.624911,-13.312230,39.138950
-15.393643,-11.438657,40.175268
-14.998144,-9.450053,40.864754
-14.443335,-7.426078,41.192360
-13.741610,-5.446401,41.166470
-12.912089,-3.582652,40.817121
-11.979145,-1.891867,40.191259
-10.970417,-0.412540,39.346122
-9.914630,0.836302,38.342149
-8.839536,1.853325,37.236776
-7.770250,2.651280,36.079970
-6.728097,3.252601,34.911826
-5.730027,3.685109,33.762006
-4.788514,3.978423,32.650528
-3.911820,4.161330,31.589340
-3.104505,4.260125,30.584174
-2.368042,4.297750,29.636340
-1.701463,4.293521,28.744265
-1.101964,4.263249,27.904699
-0.565443,4.219567,27.113594
-0.086942,4.172359,26.366706
0.338988,4.129215,25.659966
0.718011,4.095856,24.989698
1.055795,4.076511,24.352714
1.357867,4.074254,23.746348
1.629506,4.091271,23.168435
1.875682,4.129088,22.617278
2.101023,4.188760,22.091599
2.309797,4.271010,21.590497
2.505918,4.376346,21.113402
2.692961,4.505155,20.660045
2.874180,4.657766,20.230433
3.052539,4.834499,19.824827
3.230735,5.035705,19.443740
3.411232,5.261778,19.087930
3.596286,5.513171,18.758410
3.787975,5.790393,18.456456
3.988217,6.093997,18.183622
4.198795,6.424555,17.941767
4.421371,6.782634,17.733074
4.657497,7.168747,17.560077
4.908622,7.583298,17.425693
5.176090,8.026518,17.333243
5.461132,8.498374,17.286483
5.764857,8.998469,17.289618
6.088218,9.525923,17.347310
6.431988,10.079222,17.464674
6.796712,10.656061,17.647244
7.182647,11.253148,17.900912
7.589697,11.865998,18.231829
8.017327,12.488713,18.646240
8.464465,13.113747,19.150268
8.929394,13.731692,19.749602
9.409623,14.331086,20.449103
9.901770,14.898286,21.252295
10.401421,15.417445,22.160761
10.903024,15.870634,23.173441
11.399785,16.238169,24.285861
11.883623,16.499191,25.489355
12.345180,16.632555,26.770340
12.773917,16.618033,28.109783
13.158329,16.437829,29.482963
13.486279,16.078318,30.859694
13.745483,15.531868,32.205136
13.924121,14.798533,33.481262
14.011563,13.887330,34.648994
13.999139,12.816829,35.670853
13.880908,11.614807,36.513876
13.654298,10.316856,37.152414
13.320554,8.963989,37.570377
12.884897,7.599522,37.762553
12.356360,6.265632,37.734742
11.747287,5.000116,37.502687
11.072570,3.833807,37.089993
10.348694,2.788973,36.525427
9.592722,1.878813,35.840038
8.821331,1.107952,35.064533
8.049993,0.473686,34.227215
7.292362,-0.032341,33.352621
6.559892,-0.422350,32.460859
5.861668,-0.710754,31.567531
5.204426,-0.912763,30.684068
4.592707,-1.043326,29.818322
4.029103,-1.116403,28.975250
3.514553,-1.144533,28.157596
3.048644,-1.138626,27.366501
2.629917,-1.107927,26.602015
2.256133,-1.060082,25.863490
1.924511,-1.001278,25.149881
1.631932,-0.936415,24.459947
1.375098,-0.869279,23.792400
1.150660,-0.802728,23.145983
0.955321,-0.738847,22.519520
0.785904,-0.679103,21.911941
0.639404,-0.624465,21.322286
0.513017,-0.575523,20.749699
0.404163,-0.532573,20.193421
0.310489,-0.495696,19.652777
0.229871,-0.464822,19.127164
0.160401,-0.439777,18.616038
0.100384,-0.420328,18.118905
0.048312,-0.406205,17.635312
0.002861,-0.397136,17.164841
-0.037139,-0.392854,16.707100
-0.072711,-0.393120,16.261723
-0.104751,-0.397724,15.828363
-0.134049,-0.406496,15.406690
-0.161293,-0.419313,14.996390
-0.187095,-0.436094,14.597163
-0.211995,-0.456809,14.208721
-0.236477,-0.481477,13.830790
-0.260977,-0.510170,13.463108
-0.285896,-0.543006,13.105423
-0.311607,-0.580159,12.757497
-0.338462,-0.621854,12.419105
-0.366801,-0.668371,12.090034
-0.396958,-0.720045,11.770085
-0.429267,-0.777270,11.459074
-0.464067,-0.840502,11.156835
-0.501711,-0.910261,10.863220
-0.542566,-0.987135,10.578101
-0.587023,-1.071789,10.301374
-0.635499,-1.164966,10.032963
-0.688446,-1.267497,9.772820
-0.746351,-1.380306,9.520938
-0.809747,-1.504422,9.277348
-0.879214,-1.640984,9.042134
-0.955391,-1.791254,8.815438
-1.038978,-1.956629,8.597473
-1.130743,-2.138651,8.388536
-1.231534,-2.339020,8.189025
-1.342282,-2.559608,7.999456
-1.464015,-2.802476,7.820495
-1.597861,-3.069882,7.652977
